靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2317 翬,2026/9/8,251.5,"40,240","10,119,470",0.2859,"14,075,746","3,540,050",31,TSE
2412 い地筿,2026/9/8,139,"11,188","1,547,651",0.1442,"7,757,447","1,078,285",27,TSE
2603 篴,2026/9/8,229,"6,325","1,453,747",0.2921,"2,165,043","495,795",15,TSE
1301 鹅,2026/9/8,65.1,"28,241","1,847,628",0.4436,"6,365,741","414,410",03,TSE
3231 絥承,2026/9/8,186.5,"123,233","22,910,532",3.8752,"3,180,052","593,080",25,TSE
2356 璣穨笷,2026/9/8,64,"36,613","2,327,037",1.0206,"3,587,475","229,598",25,TSE
2301 腳,2026/9/8,291,"18,980","5,547,265",0.8195,"2,316,108","673,987",25,TSE
2395 地,2026/9/8,657,"4,049","2,675,271",0.4658,"869,176","571,049",25,TSE
2303 羛筿,2026/9/7,143,"337,408","47,497,656",2.6842,"12,570,094","1,797,523",24,TSE
2382 約笷,2026/9/7,347.5,"13,614","4,687,911",0.3314,"4,107,627","1,427,401",25,TSE
2317 翬,2026/9/7,256,"34,027","8,694,860",0.2417,"14,075,746","3,603,391",31,TSE
2412 い地筿,2026/9/7,138,"8,953","1,230,443",0.1154,"7,757,447","1,070,528",27,TSE
2603 篴,2026/9/7,233,"5,618","1,310,670",0.2595,"2,165,043","504,455",15,TSE
1301 鹅,2026/9/7,66.6,"29,478","1,984,085",0.4631,"6,365,741","423,958",03,TSE
3231 絥承,2026/9/7,197,"65,693","12,869,129",2.0658,"3,180,052","626,470",25,TSE
2356 璣穨笷,2026/9/7,66.1,"24,974","1,649,424",0.6961,"3,587,475","237,132",25,TSE
2301 腳,2026/9/7,299,"25,036","7,550,227",1.081,"2,316,108","692,516",25,TSE
2395 地,2026/9/7,680,"3,571","2,454,865",0.4108,"869,176","591,040",25,TSE
2303 羛筿,2026/9/4,130,"142,867","18,470,733",1.1366,"12,570,094","1,634,112",24,TSE
2382 約笷,2026/9/4,345,"20,571","7,095,877",0.5008,"4,107,627","1,417,131",25,TSE
2317 翬,2026/9/4,256,"49,402","12,576,410",0.351,"14,075,746","3,603,391",31,TSE
2412 い地筿,2026/9/4,137.5,"7,383","1,016,319",0.0952,"7,757,447","1,066,649",27,TSE
2603 篴,2026/9/4,233,"17,620","4,084,716",0.8138,"2,165,043","504,455",15,TSE
1301 鹅,2026/9/4,66,"26,921","1,752,844",0.4229,"6,365,741","420,139",03,TSE
3231 絥承,2026/9/4,198,"82,904","16,291,830",2.607,"3,180,052","629,650",25,TSE
2356 璣穨笷,2026/9/4,67.5,"27,074","1,821,646",0.7547,"3,587,475","242,155",25,TSE
2301 腳,2026/9/4,308,"27,528","8,524,055",1.1885,"2,316,108","713,361",25,TSE
2395 地,2026/9/4,711,"5,020","3,559,124",0.5776,"869,176","617,984",25,TSE
2303 羛筿,2026/9/3,125,"139,492","17,565,846",1.1097,"12,570,094","1,571,262",24,TSE
2382 約笷,2026/9/3,335,"11,868","4,015,981",0.2889,"4,107,627","1,376,055",25,TSE
2317 翬,2026/9/3,247.5,"29,851","7,487,526",0.2121,"14,075,746","3,483,747",31,TSE
2412 い地筿,2026/9/3,138,"13,060","1,799,727",0.1684,"7,757,447","1,070,528",27,TSE
2603 篴,2026/9/3,239,"9,241","2,195,805",0.4268,"2,165,043","517,445",15,TSE
1301 鹅,2026/9/3,65.7,"52,367","3,564,969",0.8226,"6,365,741","418,229",03,TSE
3231 絥承,2026/9/3,188.5,"97,294","18,657,223",3.0595,"3,180,052","599,440",25,TSE
2356 璣穨笷,2026/9/3,65,"16,089","1,072,526",0.4485,"3,587,475","233,186",25,TSE
2301 腳,2026/9/3,299,"38,271","11,850,653",1.6524,"2,316,108","692,516",25,TSE
2395 地,2026/9/3,674,"2,965","2,034,629",0.3411,"869,176","585,825",25,TSE
2303 羛筿,2026/9/2,126,"136,331","17,497,864",1.0846,"12,570,094","1,583,832",24,TSE
2382 約笷,2026/9/2,337,"9,424","3,182,040",0.2294,"4,107,627","1,384,270",25,TSE
2317 翬,2026/9/2,251,"29,265","7,376,850",0.2079,"14,075,746","3,533,012",31,TSE
2412 い地筿,2026/9/2,137.5,"10,960","1,498,892",0.1413,"7,757,447","1,066,649",27,TSE
2603 篴,2026/9/2,234.5,"10,458","2,447,641",0.483,"2,165,043","507,703",15,TSE
1301 鹅,2026/9/2,66.8,"53,476","3,614,241",0.8401,"6,365,741","425,231",03,TSE
3231 絥承,2026/9/2,185.5,"84,035","15,745,142",2.6426,"3,180,052","589,900",25,TSE
2356 璣穨笷,2026/9/2,66.6,"22,335","1,503,162",0.6226,"3,587,475","238,926",25,TSE
2301 腳,2026/9/2,315,"46,683","14,684,625",2.0156,"2,316,108","729,574",25,TSE
2395 地,2026/9/2,692,"3,182","2,212,142",0.3661,"869,176","601,470",25,TSE
2303 羛筿,2026/9/1,132.5,"223,238","29,639,493",1.7759,"12,570,094","1,665,537",24,TSE
2382 約笷,2026/9/1,342,"14,159","4,804,503",0.3447,"4,107,627","1,404,809",25,TSE
2317 翬,2026/9/1,256,"34,131","8,696,647",0.2425,"14,075,746","3,603,391",31,TSE
2412 い地筿,2026/9/1,136,"6,889","936,236",0.0888,"7,757,447","1,055,013",27,TSE
2603 篴,2026/9/1,238,"12,604","2,976,266",0.5822,"2,165,043","515,280",15,TSE
1301 鹅,2026/9/1,67.8,"69,471","4,710,867",1.0913,"6,365,741","431,597",03,TSE
3231 絥承,2026/9/1,182,"27,956","5,043,059",0.8791,"3,180,052","578,770",25,TSE
