靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
3008 ミ,2026/9/14,"5,995","2,655","16,166,958",2.0298,"130,798","784,135",26,TSE
2379 风琑,2026/9/14,713,"2,719","1,943,011",0.5274,"515,513","367,561",24,TSE
2330 縩筿,2026/9/11,"2,410","21,131","51,050,141",0.0815,"25,932,370","62,497,012",24,TSE
2454 羛祇,2026/9/11,"4,585","7,591","34,887,126",0.473,"1,604,953","7,358,708",24,TSE
3034 羛碟,2026/9/11,547,"2,414","1,309,705",0.3967,"608,511","332,856",24,TSE
2308 笷筿,2026/9/11,"1,620","15,924","25,646,828",0.613,"2,597,543","4,208,020",28,TSE
3711 らるщ北,2026/9/11,618,"22,695","13,919,342",0.5059,"4,485,648","2,772,130",24,TSE
2345 醇ü,2026/9/11,"1,885","4,090","7,719,908",0.7289,"561,118","1,057,707",27,TSE
6669 絥縪,2026/9/11,"2,310","1,896","4,375,659",0.338,"560,891","1,295,658",25,TSE
2059 打,2026/9/11,"12,080",399,"4,812,520",0.4187,"95,297","1,151,189",28,TSE
3008 ミ,2026/9/11,"6,660","1,987","13,319,199",1.5191,"130,798","871,116",26,TSE
2379 风琑,2026/9/11,704,"1,978","1,384,384",0.3837,"515,513","362,921",24,TSE
2330 縩筿,2026/9/10,"2,450","19,835","48,523,945",0.0765,"25,932,370","63,534,307",24,TSE
2454 羛祇,2026/9/10,"4,720","6,662","30,892,462",0.4151,"1,604,953","7,575,376",24,TSE
3034 羛碟,2026/9/10,545,"2,522","1,371,726",0.4145,"608,511","331,639",24,TSE
2308 笷筿,2026/9/10,"1,675","20,489","34,731,630",0.7888,"2,597,543","4,350,885",28,TSE
3711 らるщ北,2026/9/10,650,"17,451","11,260,375",0.389,"4,485,648","2,915,671",24,TSE
2345 醇ü,2026/9/10,"1,965","2,982","5,889,536",0.5314,"561,118","1,102,597",27,TSE
6669 絥縪,2026/9/10,"2,345","2,793","6,515,486",0.498,"560,891","1,315,289",25,TSE
2059 打,2026/9/10,"12,600",287,"3,593,458",0.3012,"95,297","1,200,743",28,TSE
3008 ミ,2026/9/10,"6,720","1,755","11,884,871",1.3418,"130,798","878,964",26,TSE
2379 风琑,2026/9/10,696,"2,830","1,994,644",0.549,"515,513","358,797",24,TSE
2330 縩筿,2026/9/9,"2,465","17,798","44,036,354",0.0686,"25,932,370","63,923,292",24,TSE
2454 羛祇,2026/9/9,"4,625","5,400","25,260,516",0.3365,"1,604,953","7,422,906",24,TSE
3034 羛碟,2026/9/9,543,"3,739","2,038,019",0.6145,"608,511","330,422",24,TSE
2308 笷筿,2026/9/9,"1,795","8,307","15,080,787",0.3198,"2,597,543","4,662,590",28,TSE
3711 らるщ北,2026/9/9,640,"22,954","14,613,706",0.5117,"4,485,648","2,870,815",24,TSE
2345 醇ü,2026/9/9,"2,015","4,715","9,567,026",0.8403,"561,118","1,130,653",27,TSE
6669 絥縪,2026/9/9,"2,325","5,055","11,916,406",0.9012,"560,891","1,304,071",25,TSE
2059 打,2026/9/9,"12,400",471,"5,898,735",0.4942,"95,297","1,181,684",28,TSE
3008 ミ,2026/9/9,"6,870","1,404","9,546,938",1.0734,"130,798","898,584",26,TSE
2379 风琑,2026/9/9,705,"3,051","2,174,139",0.5918,"515,513","363,436",24,TSE
2330 縩筿,2026/9/8,"2,470","28,931","71,769,230",0.1116,"25,932,370","64,052,954",24,TSE
2454 羛祇,2026/9/8,"4,710","6,511","30,947,800",0.4057,"1,604,953","7,559,327",24,TSE
3034 羛碟,2026/9/8,534,"2,042","1,085,106",0.3356,"608,511","324,945",24,TSE
2308 笷筿,2026/9/8,"1,805","6,331","11,509,936",0.2437,"2,597,543","4,688,566",28,TSE
